0 qid:17473 1:0.2222222222222222 2:0.2222222222222222 3:0.0011223344556677889 4:1 5:0.00505050505050505 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #EaPyMdITiR8
0 qid:3516 1:0.5714285714285714 2:0.5714285714285714 3:0.0018552875695732837 4:1 5:0.0032467532467532465 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #TDIkml1ryNE
0 qid:28866 1:0.2857142857142857 2:0.2857142857142857 3:0.0013605442176870745 4:1 5:0.0047619047619047615 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #TDIkml1ryNE
1 qid:359 1:0.15 2:0.15 3:7.978723404255319e-05 4:1 5:0.0005319148936170213 6:0 7:0 8:0 9:0.0 10:5.52154424772 11:0.02127659574468085 #bbAi4XusDKU
0 qid:3785 1:0.1 2:0.1 3:0.00011904761904761905 4:1 5:0.0011904761904761904 6:0 7:0 8:0 9:0.0 10:6.68469505753 11:0.07142857142857142 #bbAi4XusDKU
0 qid:2477 1:0.1 2:0.1 3:0.00031250000000000006 4:1 5:0.003125 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #bbAi4XusDKU
0 qid:47164 1:0.1 2:0.1 3:0.0002380952380952381 4:1 5:0.0023809523809523807 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #bbAi4XusDKU
0 qid:3735 1:0.1 2:0.1 3:7.352941176470589e-05 4:1 5:0.0007352941176470588 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #bbAi4XusDKU
0 qid:10969 1:0.1 2:0.1 3:0.00020000000000000006 4:1 5:0.0020000000000000005 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #bbAi4XusDKU
0 qid:9177 1:0.1 2:0.1 3:0.00020833333333333337 4:1 5:0.0020833333333333333 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #bbAi4XusDKU
0 qid:1824 1:0.3 2:0.3 3:0.0005172413793103448 4:1 5:0.0017241379310344827 6:0 7:0 8:0 9:0.0 10:5.99154787697 11:0.034482758620689655 #LzUSae5pAZI
0 qid:3600 1:0.16666666666666666 2:0.16666666666666666 3:0.0003561253561253561 4:1 5:0.0021367521367521365 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #LzUSae5pAZI
0 qid:1383 1:0.12121212121212122 2:0.12121212121212122 3:4.479383636811575e-05 4:1 5:0.0003695491500369549 6:0 7:0 8:0 9:0.0 10:5.65507564035 11:0.024390243902439025 #_pkXMGCDBpw
0 qid:9329 1:0.09090909090909091 2:0.09090909090909091 3:0.0002295684113865932 4:1 5:0.002525252525252525 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #_pkXMGCDBpw
0 qid:1157 1:0.06060606060606061 2:0.06060606060606061 3:6.225584037602529e-06 4:1 5:0.00010272213662044171 6:0 7:0 8:0 9:0.0 10:5.29840069641 11:0.01694915254237288 #_pkXMGCDBpw
0 qid:689 1:0.06060606060606061 2:0.06060606060606061 3:4.231675785927985e-06 4:1 5:6.982265046781176e-05 6:0 7:0 8:0 9:0.0 10:5.24961053224 11:0.016129032258064516 #_pkXMGCDBpw
0 qid:3091 1:0.06060606060606061 2:0.06060606060606061 3:4.685069620134555e-06 4:1 5:7.730364873222015e-05 6:0 7:0 8:0 9:0.0 10:5.4807222532 11:0.02040816326530612 #_pkXMGCDBpw
