0 qid:28215 1:0.2857142857142857 2:0.2857142857142857 3:0.01020408163265306 4:1 5:0.03571428571428571 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #abdticS1XXg
0 qid:143 1:0.08064516129032258 2:0.08064516129032258 3:9.706928417227078e-06 4:1 5:0.00012036591237361579 6:0 7:0 8:0 9:0.0 10:5.17323755346 11:0.014925373134328358 #7zd7OIACROQ
0 qid:1809 1:0.08064516129032258 2:0.08064516129032258 3:1.8065672332061505e-05 4:1 5:0.0002240143369175627 6:0 7:0 8:0 9:0.0 10:6.17386943376 11:0.041666666666666664 #7zd7OIACROQ
0 qid:7445 1:0.04838709677419355 2:0.04838709677419355 3:6.503642039542143e-05 4:1 5:0.0013440860215053762 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #7zd7OIACROQ
0 qid:160 1:0.04838709677419355 2:0.04838709677419355 3:9.755463059313215e-06 4:1 5:0.00020161290322580645 6:0 7:0 8:0 9:0.0 10:6.55953191458 11:0.0625 #7zd7OIACROQ
0 qid:2881 1:0.04838709677419355 2:0.04838709677419355 3:1.2194328824141519e-05 4:1 5:0.00025201612903225806 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #7zd7OIACROQ
0 qid:4588 1:0.04838709677419355 2:0.04838709677419355 3:4.8474350605283055e-06 4:1 5:0.00010018032458425164 6:0 7:0 8:0 9:0.0 10:6.21469142828 11:0.043478260869565216 #7zd7OIACROQ
0 qid:1790 1:0.04838709677419355 2:0.04838709677419355 3:4.335761359694762e-05 4:1 5:0.0008960573476702508 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #7zd7OIACROQ
0 qid:7446 1:0.03225806451612903 2:0.03225806451612903 3:7.432733759476735e-06 4:1 5:0.0002304147465437788 6:0 7:0 8:0 9:0.0 10:7.6009857894 11:0.2 #7zd7OIACROQ
0 qid:6934 1:0.03225806451612903 2:0.03225806451612903 3:4.335761359694762e-06 4:1 5:0.00013440860215053763 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #7zd7OIACROQ
0 qid:41125 1:0.03225806451612903 2:0.03225806451612903 3:1.0839403399236904e-05 4:1 5:0.00033602150537634406 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #7zd7OIACROQ
0 qid:6823 1:0.03225806451612903 2:0.03225806451612903 3:8.054045869402035e-07 4:1 5:2.4967542195146307e-05 6:0 7:0 8:0 9:0.0 10:5.83739719714 11:0.029411764705882353 #7zd7OIACROQ
0 qid:52146 1:0.03225806451612903 2:0.03225806451612903 3:9.635025243766136e-06 4:1 5:0.0002986857825567503 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #7zd7OIACROQ
0 qid:1203 1:0.03225806451612903 2:0.03225806451612903 3:1.1536393861715555e-06 4:1 5:3.576282097131822e-05 6:0 7:0 8:0 9:0.0 10:5.65507564035 11:0.024390243902439025 #7zd7OIACROQ
0 qid:4034 1:0.03225806451612903 2:0.03225806451612903 3:2.106442765843609e-06 4:1 5:6.529972574115188e-05 6:0 7:0 8:0 9:0.0 10:6.39701298508 11:0.05263157894736842 #7zd7OIACROQ
