0 qid:3847 1:0.18181818181818182 2:0.18181818181818182 3:0.004132231404958678 4:1 5:0.022727272727272728 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #iv_btkVUhZY
0 qid:29851 1:0.10526315789473684 2:0.10526315789473684 3:0.0013850415512465372 4:1 5:0.013157894736842105 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #o9N2a_TEffI
0 qid:6912 1:0.034482758620689655 2:0.034482758620689655 3:1.4155483834437461e-05 4:1 5:0.00041050903119868636 6:0 7:0 8:0 9:0.0 10:6.30170280527 11:0.047619047619047616 #GzE5bRVJ8UI
0 qid:104067 1:0.034482758620689655 2:0.034482758620689655 3:4.954419342053111e-05 4:1 5:0.0014367816091954023 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #GzE5bRVJ8UI
0 qid:9000 1:0.034482758620689655 2:0.034482758620689655 3:2.4772096710265555e-05 4:1 5:0.0007183908045977011 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #GzE5bRVJ8UI
0 qid:5227 1:0.034482758620689655 2:0.034482758620689655 3:4.954419342053111e-05 4:1 5:0.0014367816091954023 6:0 7:0 8:0 9:0.0 10:8.00645089751 11:0.3333333333333333 #GzE5bRVJ8UI
0 qid:18226 1:0.034482758620689655 2:0.034482758620689655 3:2.1233225751656187e-05 4:1 5:0.0006157635467980296 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #GzE5bRVJ8UI
0 qid:2069 1:0.034482758620689655 2:0.034482758620689655 3:8.257365570088518e-06 4:1 5:0.00023946360153256704 6:0 7:0 8:0 9:0.0 10:6.17386943376 11:0.041666666666666664 #GzE5bRVJ8UI
0 qid:2910 1:0.034482758620689655 2:0.034482758620689655 3:5.945303210463734e-05 4:1 5:0.0017241379310344827 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #GzE5bRVJ8UI
0 qid:2146 1:0.7419354838709677 2:0.7419354838709677 3:0.00024930627818244884 4:1 5:0.00033602150537634406 6:0 7:0 8:0 9:0.0 10:5.50092496052 11:0.020833333333333332 #Xu0PnBRGqe8
0 qid:1034 1:0.1935483870967742 2:0.1935483870967742 3:0.00012242149721491093 4:1 5:0.0006325110689437064 6:0 7:0 8:0 9:0.0 10:6.50237350074 11:0.058823529411764705 #Xu0PnBRGqe8
0 qid:4357 1:0.0967741935483871 2:0.0967741935483871 3:8.671522719389523e-05 4:1 5:0.0008960573476702508 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #Xu0PnBRGqe8
0 qid:361 1:0.0967741935483871 2:0.0967741935483871 3:1.8581834398691837e-05 4:1 5:0.0001920122887864823 6:0 7:0 8:0 9:0.0 10:6.30170280527 11:0.047619047619047616 #Xu0PnBRGqe8
0 qid:2452 1:0.0967741935483871 2:0.0967741935483871 3:0.0001951092611862643 4:1 5:0.0020161290322580645 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #Xu0PnBRGqe8
0 qid:2204 1:0.0967741935483871 2:0.0967741935483871 3:4.955155839651156e-05 4:1 5:0.0005120327700972861 6:0 7:0 8:0 9:0.0 10:7.09016016564 11:0.1111111111111111 #Xu0PnBRGqe8
0 qid:4413 1:0.0967741935483871 2:0.0967741935483871 3:5.781015146259682e-05 4:1 5:0.0005973715651135006 6:0 7:0 8:0 9:0.0 10:7.44683510958 11:0.16666666666666666 #Xu0PnBRGqe8
0 qid:2495 1:0.0967741935483871 2:0.0967741935483871 3:4.459640255686041e-05 4:1 5:0.0004608294930875576 6:0 7:0 8:0 9:0.0 10:6.68469505753 11:0.07142857142857142 #Xu0PnBRGqe8
0 qid:1258 1:0.06451612903225806 2:0.06451612903225806 3:4.299928621184888e-06 4:1 5:6.664889362836577e-05 6:0 7:0 8:0 9:0.0 10:5.58608276886 11:0.022727272727272728 #Xu0PnBRGqe8
0 qid:1073 1:0.06451612903225806 2:0.06451612903225806 3:2.167880679847381e-05 4:1 5:0.00033602150537634406 6:0 7:0 8:0 9:0.0 10:7.1955206813 11:0.125 #Xu0PnBRGqe8
0 qid:2263 1:0.06451612903225806 2:0.06451612903225806 3:1.7343045438779048e-05 4:1 5:0.00026881720430107527 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #Xu0PnBRGqe8
0 qid:4491 1:0.15384615384615385 2:0.15384615384615385 3:0.0002465483234714004 4:1 5:0.0016025641025641025 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #9Ge0X8ThzyY
0 qid:1469 1:0.15384615384615385 2:0.15384615384615385 3:8.965393580778196e-05 4:1 5:0.0005827505827505828 6:0 7:0 8:0 9:0.0 10:6.2572510427 11:0.045454545454545456 #9Ge0X8ThzyY
0 qid:29952 1:0.07692307692307693 2:0.07692307692307693 3:0.00014792899408284027 4:1 5:0.0019230769230769232 6:0 7:0 8:0 9:0.0 10:7.7833073462 11:0.25 #9Ge0X8ThzyY
0 qid:170 1:0.07692307692307693 2:0.07692307692307693 3:1.1740396355780973e-05 4:1 5:0.00015262515262515263 6:0 7:0 8:0 9:0.0 10:5.63154514294 11:0.023809523809523808 #9Ge0X8ThzyY
0 qid:336 1:0.07692307692307693 2:0.07692307692307693 3:3.522118906734291e-05 4:1 5:0.0004578754578754578 6:0 7:0 8:0 9:0.0 10:6.82779590117 11:0.08333333333333333 #9Ge0X8ThzyY
0 qid:5495 1:0.07692307692307693 2:0.07692307692307693 3:8.218277449046682e-05 4:1 5:0.0010683760683760685 6:0 7:0 8:0 9:0.0 10:7.09016016564 11:0.1111111111111111 #9Ge0X8ThzyY
0 qid:5329 1:0.375 2:0.375 3:0.0014204545454545453 4:1 5:0.003787878787878788 6:1 7:1.1561628282901595 8:1 9:1.1561628282901595 10:6.90783860884 11:0.09090909090909091 #DGXoS3HXwQM
0 qid:11406 1:0.375 2:0.375 3:0.004687500000000001 4:1 5:0.0125 6:1 7:1.1561628282901595 8:1 9:1.1561628282901595 10:7.6009857894 11:0.2 #DGXoS3HXwQM
0 qid:21416 1:0.25 2:0.25 3:0.00390625 4:1 5:0.015625 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #DGXoS3HXwQM
0 qid:21415 1:0.25 2:0.25 3:0.0020833333333333333 4:1 5:0.008333333333333333 6:1 7:1.1561628282901595 8:1 9:1.1561628282901595 10:8.00645089751 11:0.3333333333333333 #DGXoS3HXwQM
0 qid:2626 1:0.0967741935483871 2:0.0967741935483871 3:0.00014189764449910132 4:1 5:0.001466275659824047 6:0 7:0 8:0 9:0.0 10:6.90783860884 11:0.09090909090909091 #5BA-6XaRzxY
0 qid:3193 1:0.0967741935483871 2:0.0967741935483871 3:2.167880679847381e-05 4:1 5:0.0002240143369175627 6:0 7:0 8:0 9:0.0 10:5.50092496052 11:0.020833333333333332 #5BA-6XaRzxY
0 qid:1065 1:0.06451612903225806 2:0.06451612903225806 3:9.127918651988971e-06 4:1 5:0.00014148273910582907 6:0 7:0 8:0 9:0.0 10:5.7291836125 11:0.02631578947368421 #5BA-6XaRzxY
0 qid:10283 1:0.06451612903225806 2:0.06451612903225806 3:4.0022412551028574e-05 4:1 5:0.0006203473945409429 6:0 7:0 8:0 9:0.0 10:6.75368792902 11:0.07692307692307693 #5BA-6XaRzxY
0 qid:971 1:0.06451612903225806 2:0.06451612903225806 3:1.8919685933213508e-05 4:1 5:0.0002932551319648094 6:0 7:0 8:0 9:0.0 10:6.2572510427 11:0.045454545454545456 #5BA-6XaRzxY
0 qid:3027 1:0.06451612903225806 2:0.06451612903225806 3:7.251447570221205e-06 4:1 5:0.00011239743733842868 6:0 7:0 8:0 9:0.0 10:5.65507564035 11:0.024390243902439025 #5BA-6XaRzxY
0 qid:17775 1:0.09523809523809523 2:0.09523809523809523 3:0.0011337868480725622 4:1 5:0.011904761904761904 6:0 7:0 8:0 9:0.0 10:8.29413296996 11:0.5 #Tq0Yq-01c7k
